,CURRÍCULO,CITAÇÕES,AUTORES,TÍTULO,REVISTA,LOCAL,VOLUME,PÁGINAS,ANO_PUB,DOI
29,Alessandra Aparecida Guarneri, 271,"['SOARES, TATIANE S.', 'BUARQUE, DIEGO S.', 'QUEIROZ, BRUNA R.', 'GOMES, CÍCERA M.', 'BRAZ, GLÓRIA R.C.', 'ARAÚJO, RICARDO N.', 'Pereira, Marcos H.', 'Guarneri, Alessandra A.', 'TANAKA, APARECIDA S.']",A Kazal-type inhibitor is modulated by Trypanosoma cruzi to control microbiota inside the anterior midgut of Rhodnius prolixus,Biochimie (Paris Print),,---,---,2015,
30,Alessandra Aparecida Guarneri,  66,"['MARLIÉRE, NEWMAR PINTO', 'LATORRE-ESTIVALIS, JOSÉ MANUEL', 'LORENZO, MARCELO GUSTAVO', 'CARRASCO, DAVID', 'ALVES-SILVA, JULIANA', 'RODRIGUES, JULIANA DE OLIVEIRA', 'FERREIRA, LUCIANA DE LIMA', 'LARA, LUISA DE MELO', 'LOWENBERGER, CARL', 'GUARNERI, ALESSANDRA APARECIDA']",Trypanosomes Modify the Behavior of Their Insect Hosts: Effects on Locomotion and on the Expression of a Related Gene,PLoS Neglected Tropical Diseases (Online),,9,e0003973,2015,
31,Alessandra Aparecida Guarneri,  21,"['Ferreira, Luciana L.', 'PEREIRA, Marcos Horácio', 'Guarneri, Alessandra A.']",Revisiting Trypanosoma rangeli Transmission Involving Susceptible and Non-Susceptible Hosts,Plos One,,10,e0140575,2015,
32,Alessandra Aparecida Guarneri,  63,"['MESQUITA, R. D.', 'VIONETTE-AMARAL, R.', 'LOWENBERGER, C.', 'POMAR, R. R.', 'MONTEIRO, F. A.', 'MINX, P.', 'SPIETH, J.', 'CARVALHO, B.', 'PANZERA, F.', 'LAWSON, D.', 'TORRES, A.', 'RIBEIRO, J. M. C.', 'SORGINE, M. H. F.', 'WATERHOUSE, R.', 'MONTAGUE, M. J.', 'ABAD-FRANCH, F.', 'ALVES-BEZERRA, M.', 'AMARAL, L.', 'ARAUJO, H. M.', 'ARAUJO, R. N.', 'ARAVIND, L.', 'ATELLA, G.', 'AZAMBUJA, P.', 'BERNI, M.', 'BITTENCOURT-CUNHA, P.', ', et al ']","Genome of Rhodnius prolixus, an insect vector of Chagas disease, reveals unique adaptations to hematophagy and parasite infection",Proceedings of the National Academy of Sciences of the United States of America,,,1-6,2015,
33,Alessandra Aparecida Guarneri,  10,"['GUIMARAES, M. R. F.', 'LORENZO, M. G.', 'ELLIOT, S. L.', 'CARRASCO, D.', 'GUARNERI, A. A.']",Effects of infection by Trypanosoma cruzi and Trypanosoma rangeli on the reproductive performance of the vector Rhodnius prolixus,Plos One,,9,e105255,2014,
34,Alessandra Aparecida Guarneri,  38,"['PAIM, RAFAELA M.M.', 'Pereira, Marcos H.', 'ARAÚJO, RICARDO N.', 'Gontijo, Nelder F.', 'Guarneri, Alessandra A.']",The interaction between Trypanosoma rangeli and the nitrophorins in the salivary glands of the triatomine Rhodnius prolixus (Hemiptera; Reduviidae),Insect Biochemistry and Molecular Biology,,43,229-236,2013,
35,Alessandra Aparecida Guarneri,   7,"['AGUIAR, P. H. N.', 'FURTADO, C.', 'REPOLES, B. M.', 'RIBEIRO, G. A.', 'MENDES, I. C.', 'PELOSO, E. F.', 'GADELHA, F.', 'MACEDO, A. M.', 'FRANCO, G. R.', 'PENA, S. D. J.', 'RIBEIRO, S. M.', 'VIEIRA, L. Q.', 'GUARNERI, A. A.', 'OLIVEIRA, L. A.', 'MACHADO, C. R.']",Oxidative Stress and DNA Lesions: The Role of 8-Oxoguanine Lesions in Trypanosoma cruzi Cell Viability,PLoS Neglected Tropical Diseases (Online),,7,e2279,2013,
36,Alessandra Aparecida Guarneri,  37,"['ESTIVALIS, J. M. L.', 'Lazzari, Claudio', 'GUARNERI, A. A.', 'MOTA, T.', 'OMONDI, B. A.', 'Lorenzo, Marcelo G.']",Genetic basis of triatomine behavior: lessons from available insect genomes,Memórias do Instituto Oswaldo Cruz (Impresso),,108,63-73,2013,
37,Alessandra Aparecida Guarneri,  18,"['Paim, Rafaela M', 'Pereira, Marcos H', 'Di Ponzio, Raffaello', 'Rodrigues, Juliana O', 'Guarneri, Alessandra A', 'GONTIJO, Nelder F', 'Araujo, Ricardo N']","Validation of reference genes for expression analysis in the salivary gland and the intestine of Rhodnius prolixus (Hemiptera, Reduviidae) under different experimental conditions by quantitative real-time PCR",BMC Research Notes,,5,128,2012,
38,Alessandra Aparecida Guarneri,  50,"['Guarneri, Alessandra A.', 'Araujo, Ricardo N.', 'Diotaiuti, Liléia', 'Gontijo, Nelder F.', 'Pereira, Marcos H.']",Feeding Performance of Triatoma brasiliensis (Hemiptera: Reduviidae) on Habitual Hosts: Thrichomys laurentius (Rodentia: Echimyidae) and Humans,Vector Borne and Zoonotic Diseases,"Larchmont, N.Y.",11,443-445,2011,
39,Alessandra Aparecida Guarneri,  68,"['Ferreira, Luciana L.', 'Lorenzo, Marcelo G.', 'Elliot, Simon L.', 'Guarneri, Alessandra A.']","A standardizable protocol for infection of Rhodnius prolixus with Trypanosoma rangeli, which mimics natural infections and reveals physiological effects of infection upon the insect",Journal of Invertebrate Pathology (Print),,105,91-97,2010,
40,Alessandra Aparecida Guarneri,   8,"['Araujo, Ricardo N.', 'Pereira, Marcos H.', 'Soares, Adriana C.', 'Pereira, Iancor D.C.A.', 'Diotaiuti, Liléia', 'Gontijo, Nelder F.', 'Lehane, Michael J.', 'GUARNERI, A. A.']",Effect of intestinal erythrocyte agglutination on the feeding performance of Triatoma brasiliensis (Hemiptera: Reduviidae),Journal of Insect Physiology,,55,862-868,2009,
41,Alessandra Aparecida Guarneri,  50,"['de Moraes, Milene H', 'Guarneri, Alessandra A', 'Girardi, Fabiana P', 'Rodrigues, Juliana B', 'Eger, Iriane', 'Tyler, Kevin M', 'Steindel, Mário', 'Grisard, Edmundo C']",Different serological cross-reactivity of Trypanosoma rangeli forms in Trypanosoma cruzi-infected patients sera,Parasites & Vectors,,1,20,2008,
42,Alessandra Aparecida Guarneri,  61,"['PEREIRA, M', 'GONTIJO, N', 'GUARNERI, A', 'SANTANNA, M', 'DIOTAIUTI, L']",Competitive displacement in Triatominae: the Triatoma infestans success,Trends in Parasitology,,22,516-520,2006,
43,Alessandra Aparecida Guarneri,  77,"['Xavier, Ana Amélia Prates', 'Lorenzo, Marcelo G.', 'Lazzari, Claudio', 'Diotaiuti, Liléia', 'Guarneri, Alessandra A.']",Relative humidity and water loss in Triatoma brasiliensis,Physiological Entomology (Print),,30,338-342,2005,
44,Alessandra Aparecida Guarneri,  80,"['GUARNERI, A', 'DIOTAIUTI, L', 'GONTIJO, Nelder F', 'GONTIJO, Alberto', 'Pereira, Marcos H.']",Blood-feeding performance of nymphs and adults of Triatoma brasiliensis on human hosts,Acta Tropica,,"87, n.3",361-370,2003,
45,Alessandra Aparecida Guarneri,  22,"['Guarneri, Alessandra A.', 'Lazzari, Claudio', 'Xavier, Ana Amelia P.', 'Diotaiuti, Lileia', 'Lorenzo, Marcelo G.']",The effect of temperature on the behaviour and development of Triatoma brasiliensis,Physiological Entomology (Print),,28,185-191,2003,
46,Alessandra Aparecida Guarneri,  32,"['Guarneri, Alessandra A.', 'Lazzari, Claudio', 'Diotaiuti, Lileia', 'Lorenzo, Marcelo G.']",The effect of relative humidity on the behaviour and development of Triatoma brasiliensis,Physiological Entomology (Print),,27,142-147,2002,
47,Alessandra Aparecida Guarneri,  27,"['Guarneri, Alessandra A.', 'Diotaiuti, Liléia', 'Gontijo, Nelder F.', 'Gontijo, Alberto F.', 'Pereira, Marcos H.']","Comparison of feeding behaviour of Triatoma infestans, Triatoma brasiliensis and Triatoma pseudomaculata in different hosts by electronic monitoring of the cibarial pump",Journal of Insect Physiology,,46,1121-1127,2000,
48,Alessandra Aparecida Guarneri,  89,"['GUARNERI, A. A.', 'CARVALHO, M. G.', 'PEREIRA, Marcos Horácio', 'DIOTAIUTI, L.']",Potencial biológico do Triatoma brasiliensis,Cadernos de Saúde Pública (ENSP Impresso),,16,S101-S104,2000,
49,Alessandra Aparecida Guarneri, 166,"['LORENZO, Marcelo G', 'GUARNERI, A. A.', 'PIRES, H. H. R.', 'DIOTAIUTI, L.', 'LAZZARI, C.']",Aspectos microclimáticos del hábitat de Triatoma brasiliensis,Cadernos de Saúde Pública (ENSP Impresso),,16,69-74,2000,
50,Alessandra Aparecida Guarneri,   8,"['Schlemper, B. R.', 'STEINDEL, M.', 'GRISARD, E. C.', 'Carvalho-Pinto, C. J.', 'BERNARDINI, O. J.', 'CASTILHO, C. V.', 'ROSA, G.', 'KILIAN, S.', 'GUARNERI, A. A.', 'ROCHA, A.', 'MEDEIROS, Z.', 'Ferreira Neto, J. A.']","Elimination of bancroftian filariasis (Wuchereria bancrofti) in Santa Catarina state, Brazil",Tropical medicine and international health (Print),,"5, n.12",848-854,2000,
51,Alessandra Aparecida Guarneri,   5,"['Guarneri, Alessandra A.', 'Pereira, Marcos H.', 'Diotaiuti, Liléia']","Influence of the Blood Meal Source on the Development of Triatoma infestans, Triatoma brasiliensis, Triatoma sordida, and Triatoma pseudomaculata (Heteroptera, Reduviidae)",Journal of Medical Entomology,,37,373-379,2000,
52,Alessandra Aparecida Guarneri,   1,"['GRISARD, E. C.', 'STEINDEL, M.', 'GUARNERI, A. A.', 'EGERMANGRICH, I.', 'CAMPBELL, D.', 'ROMANHA, Á. J.']",Characterization of Trypanosoma rangeli Strains Isolated in Central and South America: an Overview,Memórias do Instituto Oswaldo Cruz (Impresso),,"94, n.2",203-209,1999,
53,Alessandra Aparecida Guarneri,   1,"['GUARNERI, A. A.', 'PINTO-CARVALHO, C. J.', 'SCHOFIELD, C. J.', 'STEINDEL, M.']","Population biology of Rhodnius domesticus Neiva & Pinto, 1923 (Hemiptera, Reduviidae) under laboratory conditions",Memórias do Instituto Oswaldo Cruz,,"93, n.2",273-276,1998,
54,Alexandre de Magalhaes Vieira Machado,   7,"['CASTRO, J. T.', 'AZEVEDO, P.', 'FUMAGALLI, M. J.', 'HOJO-SOUZA, N. S. Salazar', 'N., ALMEIDA2, G.', 'OLIVEIRA, L. I.', 'FAUSTINO, L.', 'ANTONELLI, L. R.', 'MARCAL, T. G.', 'AUGUSTO, M.', 'VALIATE, B.', 'FIORINI, A.', 'RATTIS, B.', 'RAMOS, S. G.', 'PICCIN, M.', 'NONATO, O. C.', 'BENEVIDES, L.', 'MAGALHAES, R.', 'CASSARO, B.', 'BURLE, G.', 'DORO, D.', 'KALIL, J.', 'DURIGON, E.', 'SALAZAR, A.', ', et al ']",Promotion of neutralizing antibody-independent immunity to wild-type and SARS-CoV-2 variants of concern using an RBD-Nucleocapsid fusion protein,Nature Communications,,13,4831,2022,
55,Alexandre de Magalhaes Vieira Machado,  11,"['MELO, ELIZA M.', 'DEL SARTO, JULIANA', 'VAGO, JULIANA P.', 'TAVARES, LUCIANA P.', 'RAGO, FLÁVIA', 'GONÇALVES, ANA PAULA F.', 'MACHADO, MARINA G.', 'ARANDA-PARDOS, IRENE', 'VALIATE, BRUNO V.S.', 'CASSALI, GEOVANNI D.', 'PINHO, VANESSA', 'SOUSA, LIRLÂNDIA P.', 'A-GONZALEZ, NOELIA', 'CAMPAGNOLE-SANTOS, MARIA JOSÉ', 'BADER, MICHAEL', 'SANTOS, ROBSON A.S.', 'MACHADO, Alexandre V.', 'LUDWIG, STEPHAN', 'Teixeira, Mauro M.']",Relevance of angiotensin-(1-7) and its receptor Mas in pneumonia caused by influenza virus and post-influenza pneumococcal infection,PHARMACOLOGICAL RESEARCH,,163,105292,2021,
56,Alexandre de Magalhaes Vieira Machado,  18,"['FRAIHA, ANA LUIZA SOARES', 'MATOS, ANA CAROLINA DINIZ', 'CUNHA, JOÃO LUIS REIS', 'SANTOS, BEATRIZ SENRA ÁLVARES DA SILVA', 'PEIXOTO, MARIA VITÓRIA CHAVES', 'OLIVEIRA, ANNA GABRIELLA GUIMARÃES', 'GALINARI, GRAZIELLE COSSENZO FLORENTINO', 'NASCIMENTO, HELOÍZA IRTES DE JESUS', 'GUEDES, MARIA ISABEL MALDONADO COELHO', 'MACHADO, ALEXANDRE DE MAGALHÃES VIEIRA', 'COSTA, ERICA AZEVEDO', 'LOBATO, ZÉLIA INÊS PORTELA']",Swine influenza A virus subtypes circulating in Brazilian commercial pig herds from 2012 to 2019,BRAZILIAN JOURNAL OF MICROBIOLOGY,,52,2421-2430,2021,
57,Alexandre de Magalhaes Vieira Machado,   9,"['TAVARES, L. P.', 'GARCIA, C. C.', 'GONCALVES1, A. P. F.', 'KRAEMER, L.', 'MELO, E.', 'OLIVEIRA, F. M.', 'FREITAS, C.', 'LOPES, G. A.', 'REIS, D.', 'CASSALI, G.', 'MACHADO AV', 'MANTOVANI, A.', 'LOCATI, M.', 'TEIXEIRA, M. M.', 'RUSSO, R. C.']",ACKR2 contributes to pulmonary dysfunction by shaping CCL5:CCR5-dependent recruitment of lymphocytes during Influenza A infection in mice,AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,,Epub a,1,2020,
58,Alexandre de Magalhaes Vieira Machado,  32,"['RIBEIRO, FLÁVIA ANDRESSA PIDONE', 'PONTES, CAMILA', 'MACHADO, ALEXANDRE DE M.V.', 'BRUNA-ROMERO, OSCAR', 'QUINTANA, HANANIAH T.', 'DE OLIVEIRA, FLÁVIA', 'DE VASCONCELOS, JOSÉ RONNIE CARVALHO', 'RIBEIRO, DANIEL ARAKI']",Therapeutical effects of vaccine from Trypanosoma cruzi amastigote surface protein 2 by simultaneous inoculation with live parasites,JOURNAL OF CELLULAR BIOCHEMISTRY,,120,3373-3383,2019,
59,Alexandre de Magalhaes Vieira Machado,  73,"['FERREIRA, C. P.', 'CARISTE, L. M.', 'MORASCHI, B. F.', 'ZANETTI, B. F.', 'HAN, S. W.', 'RIBEIRO, D. A.', 'MACHADO, A. M. V.', 'LANNES-OLIVEIRA, J.', 'GAZZINELLI, R. T.', 'VASCONCELOS, J. R.']",CXCR3 chemokine receptor guides Trypanosoma cruzi-specific T-cells triggered by DNA/adenovirus ASP2 vaccine to heart tissue after challenge,PLoS Neglected Tropical Diseases,,13,e0007597,2019,
60,Alexandre de Magalhaes Vieira Machado,  29,"['Garcia, Cristiana C.', 'TAVARES, LUCIANA P.', 'DIAS, ANA CAROLINA F.', 'KEHDY, FERNANDA', 'ALVARADO-ARNEZ, LUCIA ELENA', 'QUEIROZ-JUNIOR, CELSO M.', 'GALVÃO, IZABELA', 'LIMA, BRAULIO H.', 'MATOS, ALINE R.', 'GONÇALVES, ANA PAULA F.', 'SORIANI, FREDERICO M.', 'MORAES, MILTON O.', 'MARQUES, JOÃO T.', 'SIQUEIRA, MARILDA M.', 'MACHADO, ALEXANDRE M. V.', 'SOUSA, LIRLÂNDIA P.', 'Russo, Remo C.', 'Teixeira, Mauro M.']",Phosphatidyl Inositol 3 Kinase-Gamma Balances Antiviral and Inflammatory Responses During Influenza A H1N1 Infection: From Murine Model to Genetic Association in Patients,Frontiers in Immunology,,9,1-18,2018,
61,Alexandre de Magalhaes Vieira Machado,  10,"['SANTOS, BEATRIZ SENRA', 'PESSOA, NATALIA LIMA', 'LUCINDA, NATALIA', 'DE OLIVEIRA, GUSTAVO CARDOSO', 'SILVA, THAIS SOUZA', 'ANDRADE, KETYLLEN REIS', 'FILHO, BRUNO GALVÃO', 'ROCHA, MARCELE NEVES', 'MACHADO, ALEXANDRE VIEIRA', 'ALVES, PEDRO AUGUSTO', 'ALVES, ÉRICA ALESSANDRA ROCHA', 'KROON, ERNA GEESSIEN', 'CAMPOS, MARCO ANTÔNIO']",Subcutaneous Model for the Study of Dengue Virus Infection in Immune Competent Mice,JOURNAL OF BIOSCIENCES AND MEDICINES,,06,97-110,2018,
