financiadora,titulo,detalhes,palavras-chave,quantidade
National Institutes of Health (NIH),NIH - Discovery of in vivo Chemical Probes for the Nervous System (R01),"{'elegibilidade': 'Non-domestic (non-U.S.) Entities (Foreign Institutions) are eligible to apply. Foreign (non-US) institutions must follow policies described in the NIH Grants Policy Statement, and procedures for foreign institutions described throughout the Application Guide.\nAny individual(s) with the skills, knowledge, and resources necessary to carry out the proposed research as the Program Director/Principal Investigator (PD/PI) is invited to work with his/her organization to develop an application for support. Individuals from underrepresented racial and ethnic groups as well as individuals with disabilities are always encouraged to apply for NIH support.\nApplicants must have a valid Dun and Bradstreet Universal Numbering System (DUNS) number in order to begin each of the following registrations: Central Contractor Registration (CCR), Grants.gov and eRA Commons.', 'valorfinanciado': 'Application budgets are not limited but need to reflect the actual needs of the proposed project.', 'datalimite': 'Letter of Intent Due Date: Not Applicable.\nApplication Due Dates: October 5, 2026.\nExpiration Date: January 8, 2027.', 'formasolicitacao': 'There are several options available to submit the application through Grants.gov to NIH and Department of Health and Human Services partners. Candidates must use one of the submission options to access the application forms for the opportunity:\nUse the NIH ASSIST System to prepare, submit and track the application online;\nUse an institutional system-to-system (S2S) solution to prepare and submit the application to Grants.gov and eRA Commons to track the application. Applicants should check with their institutional officials regarding availability;\nUse Grants.gov Workspace to prepare and submit the application and eRA Commons to track the application.\nFor more information on Application Submission and Receipt, applicants must visit Frequently Asked Questions - Application Guide, Electronic Submission of Grant Applications.', 'descricao': 'The National Institutes of Health (NIH), a part of the U.S. Department of Health and Human Services, is the primary Federal agency for conducting and supporting medical research. Composed of 27 Institutes and Centers, the NIH provides leadership and financial support to researchers in every state and throughout the world.\nThe purpose of this Notice of Funding Opportunities (NOFOs) is to support investigators who have interest and capability to join efforts for the discovery of in vivo chemical probes for novel brain targets. It is expected that applicants will have, in hand, the starting compounds ( validated hits ) for chemical optimization and bioassays for testing new analog compounds.\nThrough this NOFO, NIH wishes to stimulate research in\nDiscovery and development of novel, small molecules for their potential use in understanding biological processes relevant to the missions of National Institute of Mental Health (NIMH), National Institute on Drug Abuse (NIDA), National Eye Institute (NEI), and/or National Institute on Aging (NIA) and\nDiscovery and/or validation of novel, biological targets that will inform studies of brain disease mechanisms. Emphasis will be placed on projects that provide new insight into important disease-related biological targets and biological processes.', 'homepage': 'https://grants.nih.gov/grants/guide/pa-files/PAR-24-088.html', 'Nome': 'National Institutes of Health (NIH)', 'Endereço': '9000 Rockville Pike, Bethesda, Maryland, 20892, Estados Unidos', 'Telefone': '+1(301) 496 4000', 'E-mail': 'nihinfo@od.nih.gov', 'Home Page': 'https://www.nih.gov/'}",disease,117
National Institutes of Health (NIH),NIH - Engineering Next-Generation Human Nervous System Microphysiological Systems (R01/R21),"{'elegibilidade': 'Non-domestic (non-U.S.) Entities (Foreign Institutions) are eligible to apply. Foreign (non-US) institutions must follow policies described in the NIH Grants Policy Statement, and procedures for foreign institutions described throughout the Application Guide.\nAny individual(s) with the skills, knowledge, and resources necessary to carry out the proposed research as the Program Director/Principal Investigator (PD/PI) is invited to work with his/her organization to develop an application for support. Individuals from underrepresented racial and ethnic groups as well as individuals with disabilities are always encouraged to apply for NIH support.\nApplicants must have a valid Dun and Bradstreet Universal Numbering System (DUNS) number in order to begin each of the following registrations: Central Contractor Registration (CCR), Grants.gov and eRA Commons.', 'valorfinanciado': 'R01:\nApplication budgets are not limited but need to reflect the actual needs of the proposed project.\nR21:\nThe combined budget for direct costs for the two-year project period may not exceed US$275,000. No more than US$200,000 may be requested in any single year.', 'datalimite': 'Letter of Intent Due Date: Not Applicable.\nApplication Due Dates: February 05, 2023; June 05, 2023; October 05, 2023; February 05, 2024; June 05, 2024; October 05, 2024; February 05, 2025; June 05, 2025; October 05, 2025. All applications are due by 5:00 PM local time of applicant organization. \nExpiration Date: January 08, 2026.', 'formasolicitacao': 'There are several options available to submit the application through Grants.gov to NIH and Department of Health and Human Services partners. Candidates must use one of the submission options to access the application forms for the opportunity:\nUse the NIH ASSIST System to prepare, submit and track the application online;\nUse an institutional system-to-system (S2S) solution to prepare and submit the application to Grants.gov and eRA Commons to track the application. Applicants should check with their institutional officials regarding availability;\nUse Grants.gov Workspace to prepare and submit the application and eRA Commons to track the application.\nFor more information on Application Submission and Receipt, applicants must visit Frequently Asked Questions - Application Guide, Electronic Submission of Grant Applications.', 'descricao': 'The National Institutes of Health (NIH), a part of the U.S. Department of Health and Human Services, is the primary Federal agency for conducting and supporting medical research. Composed of 27 Institutes and Centers, the NIH provides leadership and financial support to researchers in every state and throughout the world.\nThis Funding Opportunity Announcement (FOA) encourages research grant applications directed toward developing next-generation human cell-derived microphysiological systems (MPS) and related assays that replicate complex nervous system architectures and physiology with improved fidelity over current capabilities. Supported projects will be expected to enable future studies of complex nervous system development, function, and aging in healthy and disease states.\nThis FOA is intended to encourage the further development of projects with feasibility support for the line of investigation. Applicants proposing exploratory research at the early and conceptual stages of project development may instead wish to apply to the companion R21 FOA.', 'homepage': 'https://grants.nih.gov/grants/guide/pa-files/PAR-23-046.html\nhttps://grants.nih.gov/grants/guide/pa-files/PAR-23-047.html', 'Nome': 'National Institutes of Health (NIH)', 'Endereço': '9000 Rockville Pike, Bethesda, Maryland, 20892, Estados Unidos', 'Telefone': '+1(301) 496 4000', 'E-mail': 'nihinfo@od.nih.gov', 'Home Page': 'https://www.nih.gov/'}",disease,117
National Institutes of Health (NIH),NIH - Global Infectious Disease Research Administration Development Award for Low-and Middle-Income Country Institutions (G11),"{'elegibilidade': 'Non-domestic (non-U.S.) Entities (Foreign Institutions) are eligible to apply. Foreign (non-US) institutions must follow policies described in the NIH Grants Policy Statement, and procedures for foreign institutions described throughout the Application Guide.\nAny individual(s) with the skills, knowledge, and resources necessary to carry out the proposed research as the Program Director/Principal Investigator (PD/PI) is invited to work with his/her organization to develop an application for support. Individuals from underrepresented racial and ethnic groups as well as individuals with disabilities are always encouraged to apply for NIH support.\nApplicants must have a valid Dun and Bradstreet Universal Numbering System (DUNS) number in order to begin each of the following registrations: Central Contractor Registration (CCR), Grants.gov and eRA Commons.', 'valorfinanciado': 'Application budgets are limited to $100,000 per year in direct costs.', 'datalimite': 'Letter of Intent Due Date: February 13, 2026.\nApplication Due Dates: March 13, 2026.\nExpiration Date: March 14, 2026.', 'formasolicitacao': 'There are several options available to submit the application through Grants.gov to NIH and Department of Health and Human Services partners. Candidates must use one of the submission options to access the application forms for the opportunity:\nUse the NIH ASSIST System to prepare, submit and track the application online;\nUse an institutional system-to-system (S2S) solution to prepare and submit the application to Grants.gov and eRA Commons to track the application. Applicants should check with their institutional officials regarding availability;\nUse Grants.gov Workspace to prepare and submit the application and eRA Commons to track the application.\nFor more information on Application Submission and Receipt, applicants must visit Frequently Asked Questions - Application Guide, Electronic Submission of Grant Applications.', 'descricao': 'The National Institutes of Health (NIH), a part of the U.S. Department of Health and Human Services, is the primary Federal agency for conducting and supporting medical research. Composed of 27 Institutes and Centers, the NIH provides leadership and financial support to researchers in every state and throughout the world.\nThe purpose of this notice of funding opportunity (NOFO) is to invite applications from research institutions in low- and middle-income countries (LMICs) to provide senior administrators from these institutions with advanced training in the management of NIH grants. The goal is to improve oversight of NIAID grant awards and compliance with NIH funding policies and Federal research funding requirements for NIAID-supported foreign institutions in LMICs.', 'homepage': 'https://grants.nih.gov/grants/guide/pa-files/PAR-23-300.html', 'Nome': 'National Institutes of Health (NIH)', 'Endereço': '9000 Rockville Pike, Bethesda, Maryland, 20892, Estados Unidos', 'Telefone': '+1(301) 496 4000', 'E-mail': 'nihinfo@od.nih.gov', 'Home Page': 'https://www.nih.gov/'}",disease,117
National Institutes of Health (NIH),NIH - HIV Prevention and Alcohol (R01/R34),"{'elegibilidade': 'Non-domestic (non-U.S.) Entities (Foreign Institutions) are eligible to apply. Foreign (non-US) institutions must follow policies described in the NIH Grants Policy Statement, and procedures for foreign institutions described throughout the Application Guide.\nAny individual(s) with the skills, knowledge, and resources necessary to carry out the proposed research as the Program Director/Principal Investigator (PD/PI) is invited to work with his/her organization to develop an application for support. Individuals from underrepresented racial and ethnic groups as well as individuals with disabilities are always encouraged to apply for NIH support.\nApplicants must have a valid Dun and Bradstreet Universal Numbering System (DUNS) number in order to begin each of the following registrations: Central Contractor Registration (CCR), Grants.gov and eRA Commons.', 'valorfinanciado': 'NIH intends to fund an estimate of 2 - 4 awards, corresponding to a total of $2,000,000, for fiscal year 2024. Future year amounts will depend on annual appropriations.\nApplication budgets are not limited but need to reflect the actual needs of the proposed project.', 'datalimite': 'Letter of Intent Due Date: 30 days before application due date.\nApplication Due Dates: May 07, 2026.\nExpiration Date: May 08, 2026.', 'formasolicitacao': 'There are several options available to submit the application through Grants.gov to NIH and Department of Health and Human Services partners. Candidates must use one of the submission options to access the application forms for the opportunity:\nUse the NIH ASSIST System to prepare, submit and track the application online;\nUse an institutional system-to-system (S2S) solution to prepare and submit the application to Grants.gov and eRA Commons to track the application. Applicants should check with their institutional officials regarding availability;\nUse Grants.gov Workspace to prepare and submit the application and eRA Commons to track the application.\nFor more information on Application Submission and Receipt, applicants must visit Frequently Asked Questions - Application Guide, Electronic Submission of Grant Applications.', 'descricao': 'The National Institutes of Health (NIH), a part of the U.S. Department of Health and Human Services, is the primary Federal agency for conducting and supporting medical research. Composed of 27 Institutes and Centers, the NIH provides leadership and financial support to researchers in every state and throughout the world.\nThe goals of this NOFO is to support locally relevant research in critical areas of HIV-associated non-communicable diseases (NCDs) at Low- and Middle-Income Country (LMIC) Institutions, to enhance research capacity, and to build a network of researchers both within and across LMICs to address this critical burden. This initiative is expected to stimulate new research on the interplay between HIV and development of NCDs in persons living with HIV (PLWH). This includes exploratory studies to uncover the extent to which HIV infection influences the etiopathogenesis of the NCDs; and to identify and develop appropriate approaches for effective diagnosis, prevention, therapeutic interventions and integrated clinical care for PLWH with the comorbid conditions. Applicants should develop their studies in keeping with the NIH HIV/AIDS Research Priorities.\nR34', 'homepage': 'https://grants.nih.gov/grants/guide/pa-files/PAS-23-173.html', 'Nome': 'National Institutes of Health (NIH)', 'Endereço': '9000 Rockville Pike, Bethesda, Maryland, 20892, Estados Unidos', 'Telefone': '+1(301) 496 4000', 'E-mail': 'nihinfo@od.nih.gov', 'Home Page': 'https://www.nih.gov/'}",disease,117
National Institutes of Health (NIH),NIH - HIV-associated Non-Communicable Diseases Research at Low- and Middle-Income Country Institutions (R21),"{'elegibilidade': 'Non-domestic (non-U.S.) Entities (Foreign Institutions) are eligible to apply. Foreign (non-US) institutions must follow policies described in the NIH Grants Policy Statement, and procedures for foreign institutions described throughout the Application Guide.\nAny individual(s) with the skills, knowledge, and resources necessary to carry out the proposed research as the Program Director/Principal Investigator (PD/PI) is invited to work with his/her organization to develop an application for support. Individuals from underrepresented racial and ethnic groups as well as individuals with disabilities are always encouraged to apply for NIH support.\nApplicants must have a valid Dun and Bradstreet Universal Numbering System (DUNS) number in order to begin each of the following registrations: Central Contractor Registration (CCR), Grants.gov and eRA Commons.', 'valorfinanciado': 'The combined budget for direct costs for the two-year project period may not exceed $275,000. No more than $150,000 may be requested in any single year. The budget request must reflect the actual needs of the proposed project', 'datalimite': 'Letter of Intent Due Date: November 8, 2023, November 8, 2024, November 7, 2025\nApplication Due Dates: December 08, 2023; December 09, 2024; December 08, 2025.\nExpiration Date: December 09, 2025.', 'formasolicitacao': 'There are several options available to submit the application through Grants.gov to NIH and Department of Health and Human Services partners. Candidates must use one of the submission options to access the application forms for the opportunity:\nUse the NIH ASSIST System to prepare, submit and track the application online;\nUse an institutional system-to-system (S2S) solution to prepare and submit the application to Grants.gov and eRA Commons to track the application. Applicants should check with their institutional officials regarding availability;\nUse Grants.gov Workspace to prepare and submit the application and eRA Commons to track the application.\nFor more information on Application Submission and Receipt, applicants must visit Frequently Asked Questions - Application Guide, Electronic Submission of Grant Applications.', 'descricao': 'The National Institutes of Health (NIH), a part of the U.S. Department of Health and Human Services, is the primary Federal agency for conducting and supporting medical research. Composed of 27 Institutes and Centers, the NIH provides leadership and financial support to researchers in every state and throughout the world.\nThe goals of this NOFO is to support locally relevant research in critical areas of HIV-associated non-communicable diseases (NCDs) at Low- and Middle-Income Country (LMIC) Institutions, to enhance research capacity, and to build a network of researchers both within and across LMICs to address this critical burden. This initiative is expected to stimulate new research on the interplay between HIV and development of NCDs in persons living with HIV (PLWH). This includes exploratory studies to uncover the extent to which HIV infection influences the etiopathogenesis of the NCDs; and to identify and develop appropriate approaches for effective diagnosis, prevention, therapeutic interventions and integrated clinical care for PLWH with the comorbid conditions. Applicants should develop their studies in keeping with the NIH HIV/AIDS Research Priorities', 'homepage': 'https://grants.nih.gov/grants/guide/pa-files/PAR-23-191.html', 'Nome': 'National Institutes of Health (NIH)', 'Endereço': '9000 Rockville Pike, Bethesda, Maryland, 20892, Estados Unidos', 'Telefone': '+1(301) 496 4000', 'E-mail': 'nihinfo@od.nih.gov', 'Home Page': 'https://www.nih.gov/'}",disease,117
National Institutes of Health (NIH),"NIH - Imaging, Biomarkers and Digital Pathomics for the Early Detection of Premetastatic Cancer and Precancerous Lesions Associated with Lethal Phenotypes (R01)","{'elegibilidade': 'Non-domestic (non-U.S.) Entities (Foreign Institutions) are eligible to apply. Foreign (non-US) institutions must follow policies described in the NIH Grants Policy Statement, and procedures for foreign institutions described throughout the Application Guide.\nAny individual(s) with the skills, knowledge, and resources necessary to carry out the proposed research as the Program Director/Principal Investigator (PD/PI) is invited to work with his/her organization to develop an application for support. Individuals from underrepresented racial and ethnic groups as well as individuals with disabilities are always encouraged to apply for NIH support.\nApplicants must have a valid Dun and Bradstreet Universal Numbering System (DUNS) number in order to begin each of the following registrations: Central Contractor Registration (CCR), Grants.gov and eRA Commons.', 'valorfinanciado': 'Application budgets are not limited but need to reflect the actual needs of the proposed project.', 'datalimite': 'Letter of Intent Due Date: Not Applicable.\nApplication Due Date: October 05, 2022; February 05, 2023; June 05, 2023; October 05, 2023; February 05, 2024; June 05, 2024; October 05, 2024; February 05, 2025; June 05, 2025. All applications are due by 5:00 PM local time of applicant organization.\nExpiration Date: September 08, 2025.', 'formasolicitacao': 'There are several options available to submit the application through Grants.gov to NIH and Department of Health and Human Services partners. Candidates must use one of the submission options to access the application forms for the opportunity:\nUse the NIH ASSIST System to prepare, submit and track the application online;\nUse an institutional system-to-system (S2S) solution to prepare and submit the application to Grants.gov and eRA Commons to track the application. Applicants should check with their institutional officials regarding availability;\nUse Grants.gov Workspace to prepare and submit the application and eRA Commons to track the application.\nFor more information on Application Submission and Receipt, applicants must visit Frequently Asked Questions - Application Guide, Electronic Submission of Grant Applications.', 'descricao': 'The National Institutes of Health (NIH), a part of the U.S. Department of Health and Human Services, is the primary Federal agency for conducting and supporting medical research. Composed of 27 Institutes and Centers, the NIH provides leadership and financial support to researchers in every state and throughout the world.\nThis Funding Opportunity Announcement (FOA) will support the development of state-of-the-art projects that integrate imaging, biomarkers, digital pathomics, glycomics, metabolomics, other omic information and/or meta data obtained from platforms including but not limited to lower resolution diagnostic acquisitions and systemic biomarker results to high resolution single-cell analytics / imaging applied to the characterization of heterogeneous cell populations within tumor for improving current approaches for: (1) the early detection of organ confined premetastatic aggressive cancer, and, (2) identifying precancerous lesions associated with the development of a subsequent lethal phenotype. This FOA specifically attempts to address and improve diagnostic uncertainty in clinical decisions by improving detection sensitivity and specificity of integrated multiparametric platforms. For example, N-dimensional co-registered, cross-correlated imaging data integrated with multiplexed biomarker results and/or digital pathomics, glycomics, or metabolomic imaging using analytic strategies such as artificial intelligence or virtual reality visualization techniques. The projects supported by this FOA will collectively participate in the existing Consortium for Imaging and Biomarkers (CIB) Research Program. The goals of the CIB are to: (1) improve diagnostic performance by developing methodology for the early identification of potentially lethal cancer versus non-lethal disease, (2) minimize/better manage overdiagnosis and (3) reduce false positives and false negatives.\nThis FOA will utilize the NIH Research Project Grant (R01) mechanism and is suitable for projects where proof-of-principle of the individual proposed methodologies have already been established and supportive preliminary data are available.', 'homepage': 'https://grants.nih.gov/grants/guide/pa-files/PAR-22-131.html', 'Nome': 'National Institutes of Health (NIH)', 'Endereço': '9000 Rockville Pike, Bethesda, Maryland, 20892, Estados Unidos', 'Telefone': '+1(301) 496 4000', 'E-mail': 'nihinfo@od.nih.gov', 'Home Page': 'https://www.nih.gov/'}",disease,117
National Institutes of Health (NIH),NIH - Improving Care and Outcomes for Cancer Survivors from Sexual and Gender Minority (SGM) Populations (R01),"{'elegibilidade': 'Non-domestic (non-U.S.) Entities (Foreign Institutions) are eligible to apply. Foreign (non-US) institutions must follow policies described in the NIH Grants Policy Statement, and procedures for foreign institutions described throughout the Application Guide.\nAny individual(s) with the skills, knowledge, and resources necessary to carry out the proposed research as the Program Director/Principal Investigator (PD/PI) is invited to work with his/her organization to develop an application for support. Individuals from underrepresented racial and ethnic groups as well as individuals with disabilities are always encouraged to apply for NIH support.\nApplicants must have a valid Dun and Bradstreet Universal Numbering System (DUNS) number in order to begin each of the following registrations: Central Contractor Registration (CCR), Grants.gov and eRA Commons.', 'valorfinanciado': 'Application budgets are not limited but need to reflect the actual needs of the proposed project.', 'datalimite': 'Letter of Intent Due Date: September 5, 2026.\nApplication Due Dates: October 5, 2026.\nExpiration Date: January 8, 2027.', 'formasolicitacao': 'There are several options available to submit the application through Grants.gov to NIH and Department of Health and Human Services partners. Candidates must use one of the submission options to access the application forms for the opportunity:\nUse the NIH ASSIST System to prepare, submit and track the application online;\nUse an institutional system-to-system (S2S) solution to prepare and submit the application to Grants.gov and eRA Commons to track the application. Applicants should check with their institutional officials regarding availability;\nUse Grants.gov Workspace to prepare and submit the application and eRA Commons to track the application.\nFor more information on Application Submission and Receipt, applicants must visit Frequently Asked Questions - Application Guide, Electronic Submission of Grant Applications.', 'descricao': 'The National Institutes of Health (NIH), a part of the U.S. Department of Health and Human Services, is the primary Federal agency for conducting and supporting medical research. Composed of 27 Institutes and Centers, the NIH provides leadership and financial support to researchers in every state and throughout the world.\nThrough this notice of funding opportunity (NOFO), the National Cancer Institute (NCI) intends  to support the rigorous assessment of barriers to quality cancer treatment and follow-up care for sexual and gender minority (SGM) cancer survivors. This funding opportunity is intended to address a critical need for improved care delivery and outcomes for SGM cancer survivors. The goal is to address the disease burden in an underserved and understudied population that is at higher risk of poorer health outcomes. The NCI solicits proposals for observational and/or interventional studies of SGM survivors designed to understand barriers and/or improve care and outcomes for SGM people with cancer, using interoperable sexual orientation and gender identity (SOGI) data collection in cancer care settings, where appropriate.', 'homepage': 'https://grants.nih.gov/grants/guide/pa-files/PAR-23-292.html', 'Nome': 'National Institutes of Health (NIH)', 'Endereço': '9000 Rockville Pike, Bethesda, Maryland, 20892, Estados Unidos', 'Telefone': '+1(301) 496 4000', 'E-mail': 'nihinfo@od.nih.gov', 'Home Page': 'https://www.nih.gov/'}",disease,117
National Institutes of Health (NIH),NIH - Integrative Research to Understand the Impact of Sex Differences on the Molecular Determinants of AD Risk and Responsiveness to Treatment (U01),"{'elegibilidade': 'Non-domestic (non-U.S.) Entities (Foreign Institutions) are eligible to apply. Foreign (non-US) institutions must follow policies described in the NIH Grants Policy Statement, and procedures for foreign institutions described throughout the Application Guide.\nAny individual(s) with the skills, knowledge, and resources necessary to carry out the proposed research as the Program Director/Principal Investigator (PD/PI) is invited to work with his/her organization to develop an application for support. Individuals from underrepresented racial and ethnic groups as well as individuals with disabilities are always encouraged to apply for NIH support.\nApplicants must have a valid Dun and Bradstreet Universal Numbering System (DUNS) number in order to begin each of the following registrations: Central Contractor Registration (CCR), Grants.gov and eRA Commons.', 'valorfinanciado': 'Application budgets are not limited but need to reflect the actual needs of the proposed project.', 'datalimite': 'Letter of Intent Due Date: 30 days prior to the application due date.\nApplication Due Dates: February 21, 2023; October 25, 2023; February 21, 2024; October 25, 2024; February 21, 2025. All applications are due by 5:00 PM local time of applicant organization. ', 'formasolicitacao': 'There are several options available to submit the application through Grants.gov to NIH and Department of Health and Human Services partners. Candidates must use one of the submission options to access the application forms for the opportunity:\nUse the NIH ASSIST System to prepare, submit and track the application online;\nUse an institutional system-to-system (S2S) solution to prepare and submit the application to Grants.gov and eRA Commons to track the application. Applicants should check with their institutional officials regarding availability;\nUse Grants.gov Workspace to prepare and submit the application and eRA Commons to track the application.\nFor more information on Application Submission and Receipt, applicants must visit Frequently Asked Questions - Application Guide, Electronic Submission of Grant Applications.', 'descricao': ""The National Institutes of Health (NIH), a part of the U.S. Department of Health and Human Services, is the primary Federal agency for conducting and supporting medical research. Composed of 27 Institutes and Centers, the NIH provides leadership and financial support to researchers in every state and throughout the world.\nThis Funding Opportunity Announcement (FOA) invites applications that apply a cross-disciplinary and team science approach to gain a comprehensive mechanistic understanding of the impact of sex differences on the molecular trajectories of brain aging on the phenotypes of risk and resilience to Alzheimer's disease (AD) and AD-related dementias (ADRD), and on the molecular determinants underlying responsiveness to pharmacologic and non-pharmacologic interventions."", 'homepage': 'https://grants.nih.gov/grants/guide/pa-files/PAR-23-082.html', 'Nome': 'National Institutes of Health (NIH)', 'Endereço': '9000 Rockville Pike, Bethesda, Maryland, 20892, Estados Unidos', 'Telefone': '+1(301) 496 4000', 'E-mail': 'nihinfo@od.nih.gov', 'Home Page': 'https://www.nih.gov/'}",disease,117
National Institutes of Health (NIH),NIH - Mechanisms that Impact Cancer Risk with Use of Incretin Mimetics (R01 & R21),"{'elegibilidade': 'Non-domestic (non-U.S.) Entities (Foreign Institutions) are eligible to apply. Foreign (non-US) institutions must follow policies described in the NIH Grants Policy Statement, and procedures for foreign institutions described throughout the Application Guide.\nAny individual(s) with the skills, knowledge, and resources necessary to carry out the proposed research as the Program Director/Principal Investigator (PD/PI) is invited to work with his/her organization to develop an application for support. Individuals from underrepresented racial and ethnic groups as well as individuals with disabilities are always encouraged to apply for NIH support.\nApplicants must have a valid Dun and Bradstreet Universal Numbering System (DUNS) number in order to begin each of the following registrations: Central Contractor Registration (CCR), Grants.gov and eRA Commons.', 'valorfinanciado': 'R01: Application budgets are not limited but need to reflect the actual needs of the proposed project.\nR21: Application budget direct costs are limited to $275,000 over a maximum two year period, with no more than $200,000 in any single year. ', 'datalimite': 'R01:\nLetter of Intent Due Date: 30 days prior to the application due date.\nApplication Due Dates: October 5, 2026.\nExpiration Date: January 8, 2027.\nR21:\nLetter of Intent Due Date: 30 days prior to the application due date.\nApplication Due Dates: October 16, 2026.\nExpiration Date: January 8, 2027.', 'formasolicitacao': 'There are several options available to submit the application through Grants.gov to NIH and Department of Health and Human Services partners. Candidates must use one of the submission options to access the application forms for the opportunity:\nUse the NIH ASSIST System to prepare, submit and track the application online;\nUse an institutional system-to-system (S2S) solution to prepare and submit the application to Grants.gov and eRA Commons to track the application. Applicants should check with their institutional officials regarding availability;\nUse Grants.gov Workspace to prepare and submit the application and eRA Commons to track the application.\nFor more information on Application Submission and Receipt, applicants must visit Frequently Asked Questions - Application Guide, Electronic Submission of Grant Applications.', 'descricao': 'The National Institutes of Health (NIH), a part of the U.S. Department of Health and Human Services, is the primary Federal agency for conducting and supporting medical research. Composed of 27 Institutes and Centers, the NIH provides leadership and financial support to researchers in every state and throughout the world.\nThrough this notice of funding opportunity (NOFO), the National Cancer Institute (NCI) invites applications for investigator-initiated studies addressing mechanisms by which incretin mimetics, specifically glucagon-like peptide (GLP)-1 or dual GLP-1/ glucose dependent insulinotropic polypepide (GIP)-1 receptor agonists (RAs), impact cancer risk.  The focus on these agents is due to their reported effects on thyroid, prostate and other cancer risks, and the generally more favorable efficacy and side effect profile compared to other classes of incretin mimetics. In addition, this NOFO seeks to draw in talented scientists to the cancer biology field who may study incretin mimetic effects on diseases other than cancer. Investigators wishing to study incretin mimetics other than GLP-1 RAs or GLP-1/GIP-1 RAs, such as dipeptidyl peptidase (DPP)-4 inhibitors, must justify why the agent(s) they propose to study are more effective and/or have a more favorable side effect profile than GLP-1 or GLP-1/GIP-1 RAs. Route of agent administration (oral vs. other) is, by itself, not an adequate justification.\nR21.', 'homepage': 'https://grants.nih.gov/grants/guide/pa-files/PAR-23-279.html\nhttps://grants.nih.gov/grants/guide/pa-files/PAR-23-280.html', 'Nome': 'National Institutes of Health (NIH)', 'Endereço': '9000 Rockville Pike, Bethesda, Maryland, 20892, Estados Unidos', 'Telefone': '+1(301) 496 4000', 'E-mail': 'nihinfo@od.nih.gov', 'Home Page': 'https://www.nih.gov/'}",disease,117
National Institutes of Health (NIH),NIH - Neuropathological Interactions Between COVID-19 and ADRD (R01),"{'elegibilidade': 'Non-domestic (non-U.S.) Entities (Foreign Institutions) are eligible to apply. Foreign (non-US) institutions must follow policies described in the NIH Grants Policy Statement, and procedures for foreign institutions described throughout the Application Guide.\nAny individual(s) with the skills, knowledge, and resources necessary to carry out the proposed research as the Program Director/Principal Investigator (PD/PI) is invited to work with his/her organization to develop an application for support. Individuals from underrepresented racial and ethnic groups as well as individuals with disabilities are always encouraged to apply for NIH support.\nApplicants must have a valid Dun and Bradstreet Universal Numbering System (DUNS) number in order to begin each of the following registrations: Central Contractor Registration (CCR), Grants.gov and eRA Commons.', 'valorfinanciado': 'Application budgets are limited to US$500,000 in direct costs/year and need to reflect the actual needs of the proposed project. ', 'datalimite': 'Letter of Intent Due Date: September 4, 2024.\nApplication Due Dates: October 04, 2024.\nExpiration Date: October 05, 2024.', 'formasolicitacao': 'There are several options available to submit the application through Grants.gov to NIH and Department of Health and Human Services partners. Candidates must use one of the submission options to access the application forms for the opportunity:\nUse the NIH ASSIST System to prepare, submit and track the application online;\nUse an institutional system-to-system (S2S) solution to prepare and submit the application to Grants.gov and eRA Commons to track the application. Applicants should check with their institutional officials regarding availability;\nUse Grants.gov Workspace to prepare and submit the application and eRA Commons to track the application.\nFor more information on Application Submission and Receipt, applicants must visit Frequently Asked Questions - Application Guide, Electronic Submission of Grant Applications.', 'descricao': 'The National Institutes of Health (NIH), a part of the U.S. Department of Health and Human Services, is the primary Federal agency for conducting and supporting medical research. Composed of 27 Institutes and Centers, the NIH provides leadership and financial support to researchers in every state and throughout the world.\nThis Notice of Funding Opportunity (NOFO) is to solicit applications that propose studies in animal, cell culture, and/or human tissue models to elucidate the mechanisms by which COVID-19 interacts with and/or modulates ADRD-relevant phenotypes. The NOFO intends to support studies that are  disease mechanistic in nature and must incorporate ADRD outcomes, risk factors, pathologies, or relevant comorbidities. ', 'homepage': 'https://grants.nih.gov/grants/guide/pa-files/PAR-24-203.html', 'Nome': 'National Institutes of Health (NIH)', 'Endereço': '9000 Rockville Pike, Bethesda, Maryland, 20892, Estados Unidos', 'Telefone': '+1(301) 496 4000', 'E-mail': 'nihinfo@od.nih.gov', 'Home Page': 'https://www.nih.gov/'}",disease,117
